Gene Symbol,Gene stable ID,Cardiomyocytes-specific ennhancer (GFP+ only),X30kGFPpos1,X30kGFPpos2,X30kGFPpos3,X500kGFPneg4,X500kGFPneg5,X500kGFPneg6,ucsc_url
gbp,ENSDARG00000040059,chr16:43251165-43251506 (-368720); chr16:43439256-43439551 (-180652); chr16:43459224-43459538 (-160675),1,0,4,258,314,347,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A40954481%2D40955839
gbx1,ENSDARG00000071418,chr24:35308984-35309356 (+129297);,29037,0,0,147,142,138,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr24%3A34113424%2D34116526
h3f3b.1,ENSDARG00000068434,chr15:46634013-46634325 (-138800);,24164,0,123,3069,3655,4119,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr15%3A47860045%2D47865063
her13,ENSDARG00000007097,chr15:7745601-7745896 (+630884);,23276,0,2,202,263,356,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr15%3A7187228%2D7190183
hhip,ENSDARG00000060397,chr1:35618627-35618953 (+120593);,11496,0,8,805,802,1047,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr1%3A35790082%2D35835863
hmga1a,ENSDARG00000028335,chr23:3984862-3985328 (-211902);,24246,0,1871,74108,80498,95794,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A3751451%2D3759692
hrasb,ENSDARG00000005651,chr7:50778848-50779213 (+329159); chr7:50733654-50734071 (+374327); chr7:50559056-50559351 (+548986),7,0,26,537,643,604,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A49638413%2D49654492
hspd1,ENSDARG00000056160,chr9:33220452-33221404 (+113096);,12872,0,268,5169,5760,6754,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr9%3A32286605%2D32300783
mab21l1,ENSDARG00000102047,chr15:32387511-32387928 (+415871); chr15:32304630-32305474 (+498539); chr15:32299539-32300050 (+503796); chr15:32241866-32242162 (+561577); chr15:32214266-32214813 (+589051),164,0,135,5206,6132,7363,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr15%3A33070939%2D33073200
ndrg4,ENSDARG00000103937,chr25:11771276-11771649 (-816215); chr25:12307118-12307896 (-280171),170,0,156,9676,12318,13808,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr25%3A13332280%2D13381854
negr1,ENSDARG00000021607,chr6:37188036-37188356 (+296864);,8701,0,3,232,268,249,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A36942966%2D37164417
nr2f2,ENSDARG00000040926,chr18:24207007-24207371 (-548124); chr18:23279004-23279468 (+379829),58,0,115,4318,5135,6258,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr18%3A23868650%2D24023013
nr5a2,ENSDARG00000100940,chr22:23418126-23418447 (-331410); chr22:23413182-23413545 (-326487); chr22:23404995-23405503 (-318372); chr22:23377282-23377577 (-290553),18,0,4,596,509,609,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr22%3A22634007%2D22719440
nrxn3b,ENSDARG00000062693,chr20:5886738-5887085 (+291966); chr20:5903123-5903472 (+308352),16,0,16,779,720,892,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A5563042%2D5965307
pcdh18b,ENSDARG00000052494,chr14:43918566-43918869 (-490583); chr14:44861399-44861731 (+452264); chr14:45090824-45091121 (+681672); chr14:45094665-45094973 (+685518); chr14:45101736-45102109 (+692622),13,0,29,1642,2052,2263,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr14%3A42172257%2D42179789
pdzd11,ENSDARG00000053194,chr14:33880733-34000967 (-298857);,18716,0,5,331,424,497,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr14%3A33264303%2D33268494
pitx3,ENSDARG00000070069,chr13:6810249-6810544 (+150664);,19157,0,0,78,106,134,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A7555720%2D7575216
pou3f3b,ENSDARG00000095896,chr6:14390153-14390756 (-459555);,8250,0,7,1728,2024,2474,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A14949950%2D14953352
pou4f2,ENSDARG00000069737,chr1:36372263-36372771 (+227466);,11503,0,3,740,781,793,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr1%3A36436936%2D36440301
ptk2bb,ENSDARG00000039577,chr20:20213638-20213935 (-282694);,14924,0,0,82,51,54,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A19827379%2D19864131
rab3c,ENSDARG00000014462,chr8:17351369-17352360 (+234863); chr8:17346649-17346945 (+239931),5,0,11,325,429,377,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A17055292%2D17067364
rev3l,ENSDARG00000058801,chr20:3759133-3759428 (-317856); chr20:3650626-3650989 (-209383),7,0,75,925,1042,1255,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A3346242%2D3403033
rpl22l1,ENSDARG00000010244,chr24:27257342-27257638 (+18947);,28910,0,128,2038,2545,2324,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr24%3A26475182%2D26479841
satb2,ENSDARG00000061885,chr9:33387223-33387518 (+250351); chr9:33384301-33384643 (+253250),24,0,29,814,874,1214,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr9%3A32560399%2D32604414
scn2b,ENSDARG00000101713,chr15:12245792-12246087 (-670611); chr15:12597004-12598528 (-318785),0,0,8,211,190,163,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr15%3A12521379%2D12545683
scn8aa,ENSDARG00000005775,chr23:27646035-27646380 (-60146);,24740,0,18,1635,1743,2261,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A27251626%2D27345425
sim1a,ENSDARG00000023316,chr16:2049947-2050260 (-520086); chr16:1921154-1921467 (-391293); chr16:968990-969338 (+560854),0,0,8,129,94,213,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A1465624%2D1503023
six3a,ENSDARG00000058008,chr13:10107766-10108061 (-281335);,19250,0,6,254,325,355,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A10258007%2D10261383
slc6a8,ENSDARG00000043646,chr8:9977026-9977322 (-313383); chr8:9969445-9969740 (-305802); chr8:9900798-9901141 (-237179); chr8:9880668-9880963 (-217025),30,0,149,1566,1703,1862,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A9052123%2D9118958
slc8a2b,ENSDARG00000100592,chr15:41116296-41116889 (-180215); chr15:41122421-41122819 (-174188),0,0,3,87,68,165,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr15%3A42767803%2D42981467
sncb,ENSDARG00000104945,chr13:53594402-53594697 (+294053);,18886,0,29,3553,4000,4672,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr14%3A50770537%2D50804016
sox1b,ENSDARG00000008131,chr1:46814307-46814706 (+123067); chr1:46840839-46841795 (+149877),1,0,1,153,167,164,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr1%3A46194333%2D46196107
sphkap,ENSDARG00000017429,chr18:45089231-45089633 (-216478); chr18:45087371-45087668 (-214566); chr18:45073317-45073612 (-200511),1,0,1,159,255,156,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr18%3A46395909%2D46464501
star,ENSDARG00000006137,chr8:46822495-46822801 (+14484);,16773,0,0,71,77,165,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A44703854%2D44707937
stmn1b,ENSDARG00000033655,chr16:37246517-37247014 (+181816);,14106,0,7,1513,1800,2039,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A34523515%2D34527206
stxbp5a,ENSDARG00000002656,chr20:32058801-32059096 (-114393); chr20:31657155-31657625 (+287166); chr20:31632439-31632735 (+311969),14,0,0,399,391,554,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A31745949%2D31905968
tfap2c,ENSDARG00000040606,chr6:56937372-56937870 (+814662);,9144,0,14,1975,2189,2468,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A56141852%2D56179707
thoc3,ENSDARG00000056517,chr14:26454564-26454859 (-60315);,18561,0,4,223,183,223,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr14%3A25505468%2D25510955
trpc1,ENSDARG00000061203,chr24:5805541-5805933 (-118375); chr24:5807821-5808293 (-116055); chr24:5856012-5856909 (-67651),2,0,17,411,386,497,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr24%3A5840258%2D5869622
ttll7,ENSDARG00000062973,chr11:7865620-7865915 (+406483);,27625,0,30,1006,1019,1134,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr11%3A7981243%2D8126263
u2af2a,ENSDARG00000012505,chr16:14817683-14817996 (+253917); chr16:14876335-14876631 (+312560); chr16:15106764-15107086 (+543002),41,0,105,2067,2178,2400,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A12812214%2D12821768
unc5da,ENSDARG00000092722,chr21:14961172-14961468 (-273033); chr21:14913912-14914309 (-225824),0,0,3,55,99,139,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr21%3A16273782%2D16632808
xpo7,ENSDARG00000005540,chr10:19630322-19630686 (-473611);,26722,0,143,3831,4603,6084,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr10%3A20070178%2D20128254
zgc:103482,ENSDARG00000025174,chr21:19363937-19364337 (+139371);,25636,0,3,142,147,166,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr21%3A20396858%2D20402686
zgc:109913,ENSDARG00000022512,chr6:55043992-55044313 (-212350); chr6:55052604-55053986 (-203208),0,0,0,48,54,44,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A55282629%2D55286872
zgc:110699,ENSDARG00000017474,chr7:40234954-40235256 (+31203); chr7:40316499-40316975 (+112835); chr7:40359375-40359686 (+155629); chr7:40519255-40519701 (+315576),1,0,30,537,461,618,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A38811800%2D38822387
zgc:112994,ENSDARG00000026296,chr23:38067361-38067656 (-185431); chr23:38224630-38224925 (-28162); chr23:38342610-38343080 (+89905); chr23:38532360-38533278 (+279879); chr23:38721356-38721808 (+468642),0,0,0,25,16,24,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A38159715%2D38182757
zgc:153115,ENSDARG00000069342,chr2:7206871-7207211 (-255430); chr2:7205018-7205525 (-253661),77,0,175,4015,4119,4791,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A7238549%2D7246848
zgc:171482,ENSDARG00000074415,chr13:40472275-40472599 (-81412); chr13:40435080-40435448 (-44239); chr13:40161395-40161768 (+229443); chr13:40040254-40040564 (+350616); chr13:39885241-39885610 (+505599),15,0,0,166,163,133,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A39656610%2D39830999
zic6,ENSDARG00000071496,chr14:33102844-33103155 (+210849);,18688,0,0,121,156,233,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr14%3A32022272%2D32026099
aadacl4,ENSDARG00000044802,chr11:29564086-29564407 (+69843);,28102,0,1,4,1,5,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr11%3A28617564%2D28619811
aanat1,ENSDARG00000036567,chr6:22554860-22555185 (-286564);,8333,0,2,3,6,17,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A23616893%2D23619428
aanat2,ENSDARG00000079802,chr3:55755894-55756242 (+16601);,7739,0,8,87,47,44,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr3%3A54887782%2D54893706
abat,ENSDARG00000006031,chr3:27988283-27988584 (+42988);,7078,0,8,224,250,417,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr3%3A27832500%2D27880229
abca4a,ENSDARG00000057169,chr24:29498109-29498648 (+14816);,28951,0,49,107,85,104,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr24%3A28561038%2D28645334
abca5,ENSDARG00000074041,chr12:40292020-40292455 (-59163); chr12:41245412-41245707 (+894159); chr12:41257869-41259164 (+907116),8,0,35,290,292,392,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr12%3A38807604%2D38856048
abcb4,ENSDARG00000010936,chr16:30929721-30930032 (-43908);,13932,0,3,3,7,28,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A28629242%2D28658341
abcb6,ENSDARG00000074254,chr1:4673173-4673639 (-325442); chr1:4756794-4757236 (-241833); chr1:4809928-4810411 (-188678); chr1:4844705-4845101 (-153945); chr1:4919892-4920225 (-78789); chr1:4936133-4936717 (-62423),18,0,6,30,79,93,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr9%3A14202686%2D14273652
abcb7,ENSDARG00000062795,chr14:11196855-11197181 (+16653);,18311,0,11,139,123,239,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr14%3A10981703%2D11070156
abcc4,ENSDARG00000058953,chr6:7254211-7254594 (+1124); chr6:7262348-7262643 (+9217),16,0,85,234,242,379,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A7322587%2D7390458
abce1,ENSDARG00000007216,chr23:43888570-43889161 (-2484);,25121,0,310,1706,1989,2453,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A43695036%2D43718067
abcg2c,ENSDARG00000058574,chr13:5129925-5130262 (-388964); chr13:5126490-5126904 (-385567); chr13:5108227-5108622 (-367295); chr13:5014750-5015080 (-273785); chr13:4990633-4990998 (-249686); chr13:4846012-4846307 (-105030); chr13:4785474-4785975 (-44595),37,0,66,300,377,429,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A5031197%2D5065539
abhd2a,ENSDARG00000025797,chr7:14692803-14693098 (+788);,3427,0,27,261,212,176,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A13824150%2D13858955
abi1a,ENSDARG00000010155,chr24:6048537-6048832 (+29827);,28535,0,296,1044,1495,1569,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr24%3A5935377%2D6012786
ablim1b,ENSDARG00000045064,chr12:31630951-31631280 (-54300); chr12:31667691-31668029 (-17556); chr12:31700788-31701154 (+15555); chr12:31746535-31747036 (+61370); chr12:31772418-31772713 (+87150); chr12:31811286-31811794 (+126124),396,0,987,1104,976,1101,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr12%3A30046320%2D30220346
ablim3,ENSDARG00000088168,chr14:43918566-43918869 (+408448);,18769,0,37,268,269,230,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr14%3A34634145%2D34771864
ablim3,ENSDARG00000088168,chr14:35658545-35658870 (+268222);,18769,0,37,268,269,230,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr14%3A34634145%2D34771864
acad11,ENSDARG00000045411,chr24:11196079-11196374 (+22169); chr24:11193389-11193774 (+24814),2,0,22,39,59,116,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr24%3A11350330%2D11446166
acbd6,ENSDARG00000039456,chr8:14786521-14786842 (-111541);,16080,0,22,910,973,942,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A14381272%2D14441812
acer1,ENSDARG00000010347,chr8:20756540-20756960 (+27160); chr8:20748995-20749439 (+34693),1,0,0,10,7,9,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A20232421%2D20245892
acin1b,ENSDARG00000026842,chr7:25285472-25286007 (+49182);,3675,0,234,4036,4261,4633,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A24069421%2D24097070
acmsd,ENSDARG00000062549,chr9:24293745-24294593 (-6954);,12662,0,7,11,14,9,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr9%3A23244292%2D23253870
acot7,ENSDARG00000018653,chr8:49008945-49009240 (+41408);,16824,0,12,73,78,98,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A46758264%2D46894362
acox3,ENSDARG00000038865,chr7:62642483-62642784 (-205490); chr7:62470831-62471264 (-33904); chr7:62028821-62029165 (+408151),5,0,21,222,180,194,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A61764040%2D61806065
acsbg2,ENSDARG00000004094,chr8:20748995-20749439 (+53345); chr8:20756540-20756960 (+60878),21,0,250,806,926,1177,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A20140321%2D20192151
acsl3b,ENSDARG00000014674,chr2:47182873-47183730 (+339461); chr2:46682519-46683110 (+839948); chr2:46590332-46590793 (+932200); chr2:46547602-46547910 (+975007),79,0,159,1720,1866,2565,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A47471647%2D47516648
acsl4a,ENSDARG00000004078,chr14:29454656-29454951 (-4265);,18599,0,91,688,810,828,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr14%3A28438947%2D28459446
acsm3,ENSDARG00000004880,chr2:44798969-44799265 (+9107); chr2:44640563-44640937 (+167474); chr2:44637601-44637925 (+170461),0,0,20,35,25,43,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A44725550%2D44746723
acss1,ENSDARG00000044142,chr17:25928936-25929234 (+253448); chr17:26072227-26072834 (+396894); chr17:26310774-26312358 (+635929); chr17:26348401-26348721 (+672924),18,0,22,117,193,196,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr17%3A25833947%2D25853922
actc1a,ENSDARG00000042535,chr20:29519572-29520030 (-10384);,15153,0,376,1263,1009,1344,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A29476852%2D29483514
actl6a,ENSDARG00000070828,chr6:29044097-29044494 (-56315);,8572,0,9,948,1116,1381,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A29386728%2D29395704
acvr1b,ENSDARG00000052142,chr23:28081881-28082347 (-18657);,7979,0,60,679,681,810,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A2174082%2D2198683
acvrl1,ENSDARG00000018179,chr23:28081881-28082347 (+15458);,24761,0,15,96,68,110,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A27835647%2D27857104
acyp1,ENSDARG00000060126,chr17:50748333-50748778 (+29536);,17974,0,10,38,22,46,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr17%3A50244443%2D50248023
ada,ENSDARG00000003113,chr23:26205668-26205990 (+58166);,24712,0,46,399,396,479,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A25946448%2D25976656
adam12,ENSDARG00000079068,chr17:32400429-32400823 (+35538);,17681,0,94,86,87,119,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr17%3A32158951%2D32334107
adam28,ENSDARG00000035514,chr5:29527010-29527683 (-15510); chr5:29579487-29579971 (+36872),0,0,1,261,128,181,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr5%3A27897504%2D27920706
adamts18,ENSDARG00000001999,chr7:43550053-43550348 (-489808); chr7:43225268-43225598 (-165040); chr7:43219764-43220059 (-159519); chr7:42999123-42999418 (+61122); chr7:42384542-42384868 (+675688); chr7:42358354-42358842 (+701795),17,0,16,728,773,990,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A42460302%2D42547992
adar,ENSDARG00000012389,chr16:25765349-25765644 (-9587);,13768,0,48,1638,1545,1973,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A23531583%2D23557714
adarb1,ENSDARG00000003544,chr22:12850731-12851117 (-56305);,13122,0,16,520,459,458,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr9%3A45227028%2D45541367
adat1,ENSDARG00000061348,chr25:35837503-35837798 (-37129); chr25:35839525-35841152 (-34441),6,0,79,64,82,136,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr25%3A34811038%2D34833482
